subject,predicate,object
民用航空自动转报系统技术规范,标准编号,MH 4041-2014
民用航空自动转报系统技术规范,英文名称,"The technical specification of civil aviation AFTN/SITA communication system"
民用航空自动转报系统技术规范,发布日期,2014-02-08
民用航空自动转报系统技术规范,实施日期,2014-05-01
民用航空自动转报系统技术规范,起草依据,GB/T 1.1－2009
民用航空自动转报系统技术规范,提出单位,中国民用航空局空中交通管理局
民用航空自动转报系统技术规范,解释单位,中国民用航空局空中交通管理局
民用航空自动转报系统技术规范,批准立项单位,中国民用航空局航空器适航审定司
民用航空自动转报系统技术规范,归口单位,中国民航科学技术研究院
民用航空自动转报系统技术规范,起草单位,中国民用航空局空中交通管理局
民用航空自动转报系统技术规范,主要起草人,李欣
民用航空自动转报系统技术规范,主要起草人,刘树军
民用航空自动转报系统技术规范,主要起草人,王伟庆
民用航空自动转报系统技术规范,主要起草人,王天宇
民用航空自动转报系统技术规范,主要起草人,张春魁
民用航空自动转报系统技术规范,主要起草人,李林灿
民用航空自动转报系统技术规范,主要起草人,杜明
民用航空自动转报系统技术规范,主要起草人,张世平
民用航空自动转报系统技术规范,主要起草人,唐艳峰
MH 4041-2014,是,民用航空自动转报系统技术规范
民用航空自动转报系统技术规范,规定了,通信协议及接口的技术要求
民用航空自动转报系统技术规范,规定了,电报格式的技术要求
民用航空自动转报系统技术规范,规定了,转报系统的技术要求
民用航空自动转报系统技术规范,规定了,电报终端的技术要求
民用航空自动转报系统技术规范,适用于,民用航空空中交通管理自动转报系统的设计
民用航空自动转报系统技术规范,适用于,民用航空空中交通管理自动转报系统的建设
民用航空自动转报系统技术规范,适用于,民用航空空中交通管理自动转报系统的运行
IEEE 802.3,全称为,"信息技术－系统间的电报通信和信息交换"
IEEE 802.3,英文标题,"Information Technology - Telecommunications and Information Exchange between Systems"
ITU-T RECMN V.35,全称为,"使用60 kHz～108 kHz组播电路，每秒48 000字节的数据传输"
ITU-T RECMN V.35,数据速率,48 kbit/s
ITU-T RECMN X.24,全称为,"基于公共数据网的数据终端设备和数据电路终端设备间的内部电路交换定义"
ITU-T RECMN X.24,应用于,DTE 与 DCE 的电路交换接口
ITU-T RECMN X.25,全称为,"使用包模式传输和专线连接公网的数据终端设备和数据电路终端设备间的接口"
ITU-T RECMN X.25,支持,分组型终端通过专用电路接入公共数据网
TIA/EIA-232-F,全称为,串行数据通信接口标准
TIA/EIA-232-F,定义了,DTE 与 DCE 之间的串行二进制数据交换接口
TIA/EIA-568-A-5,全称为,"4对100Ω超五类电缆传输性能规范"
TIA/EIA-568-A-5,是,TIA/EIA-568-A 的第5号增补
TIA/EIA-568-B.2,全称为,"商业建筑电信布线标准 第2部分：平衡双绞线布线组件"
TIA/EIA-568-B.2,是,对 TIA/EIA-568-A 的修订
信道,是,转报系统中与用户终端或转报系统之间互联的虚拟通道
路由地址,是,电报中的收电地址
管理终端,是,配置转报系统参数、监控运行状态、记录日志和告警信息的终端
X.25,定义为,在公用数据网上供分组型终端使用的 DTE 和 DCE 之间的接口
X.28,定义为,起止式终端接入本国公共数据网 PAD 用的 DTE/DCE 接口
DCE,全称为,数据终接设备
DCE,英文全称,data circuit-terminating equipment
DTE,全称为,数据终端设备
DTE,英文全称,data terminal equipment
FR,全称为,帧中继
FR,英文全称,frame relay
ITU,全称为,国际电信联盟
ITU,英文全称,International Telecommunications Union
LAPB,全称为,链路访问过程平衡
LAPB,英文全称,link access procedure balanced
PVC,全称为,永久虚电路
PVC,英文全称,permanent virtual circuit
SVC,全称为,交换虚电路
SVC,英文全称,switched virtual circuit
自动转报系统,支持接口类型,同步接口
自动转报系统,支持接口类型,异步接口
自动转报系统,支持接口类型,以太网接口
用户设备接入自动转报系统,应采用,本标准规定的接口类型
用户设备接入自动转报系统,应遵守,相应的通信协议
FR接入,物理接口符合,ITU-T RECMN V.35 中 V.35 接口规定
FR接入,使用通信协议为,帧中继协议
FR接入,帧协议使用,LAPB
FR接入,支持接口速率,64 kbit/s
FR接入,支持接口速率,128 kbit/s
FR接入,支持接口速率,256 kbit/s
FR接入,支持接口速率,512 kbit/s
FR接入,支持接口速率,1 Mbit/s
FR接入,支持接口速率,2 Mbit/s
FR接入,传输码制为 IA-5 时包含,7 或 8 个数据位
FR接入,传输码制为 IA-5 时包含,1 个停止位
FR接入,传输码制为 IA-5 时包含,无校验位
FR接入,硬件接口采用,DB34 DTE 接口
X.25接入,物理接口符合,TIA/EIA-232-F 中 EIA-232 接口规定
X.25接入,通信协议符合,ITU-T RECMN X.25
X.25接入,帧协议使用,LAPB
X.25接入,最大虚电路数,128 条
X.25接入,支持分组包大小,128 字节
X.25接入,支持分组包大小,256 字节
X.25接入,支持,D-bit (Deliver Confirmation Bit)
X.25接入,支持,M-bit (More Bit)
X.25接入,支持,用户数据区
X.25接入,使用虚电路方式,SVC
X.25接入,使用虚电路方式,PVC
X.25接入,支持接口速率,9.6 kbit/s
X.25接入,支持接口速率,19.2 kbit/s
X.25接入,支持接口速率,64 kbit/s
X.25接入,传输码制为 IA-5 时包含,8 个数据位
X.25接入,传输码制为 IA-5 时包含,1 个停止位
X.25接入,传输码制为 IA-5 时包含,无校验位
X.25接入,硬件接口采用,DB25 DTE 接口
MH 4041-2014,包含章节,1 范围
MH 4041-2014,包含章节,2 规范性引用文件
MH 4041-2014,包含章节,3 术语和定义
MH 4041-2014,包含章节,4 代号和缩略语
MH 4041-2014,包含章节,5 通信协议及接口
MH 4041-2014,包含章节,6 电报格式
MH 4041-2014,包含章节,7 转报系统
MH 4041-2014,包含章节,8 电报终端
同步接口,是,通信接口的一种
异步接口,是,通信接口的一种
以太网接口,是,通信接口的一种
FR接入,是,同步接口的一种
X.25接入,是,同步接口的一种
DB34 DTE 接口,是,硬件接口
DB25 DTE 接口,是,硬件接口
LAPB,依赖于,数据链路层协议
X.25,依赖于,LAPB
帧中继,依赖于,LAPB
FR接入,最小接口速率为,64 kbit/s
FR接入,最大接口速率为,2 Mbit/s
X.25接入,最小接口速率为,9.6 kbit/s
X.25接入,最大接口速率为,64 kbit/s